,username,project,version_range,url,1C Enterprise,AGS Script,AMPL,ANTLR,ASP,ActionScript,Ada,AngelScript,ApacheConf,AppleScript,Assembly,Augeas,Awk,Batchfile,BitBake,BlitzBasic,Brainfuck,Bro,C,C#,C++,CMake,COBOL,CSS,Cap'n Proto,Clarion,Clean,Clojure,CoffeeScript,ColdFusion,Common Lisp,Cuda,D,DIGITAL Command Language,DTrace,Dart,Elixir,Emacs Lisp,EmberScript,Erlang,Forth,Fortran,FreeMarker,GAP,GCC Machine Description,GDB,GLSL,Gherkin,Gnuplot,Go,Groff,Groovy,HLSL,HTML,Haskell,Haxe,IDL,Inno Setup,Java,JavaScript,Jupyter Notebook,KRL,LLVM,Lex,Liquid,LiveScript,Logos,Lua,M,M4,MAXScript,Makefile,Mako,Mask,Mathematica,Matlab,Max,Meson,Module Management System,NSIS,NewLisp,Nix,OCaml,Objective-C,Objective-C++,OpenEdge ABL,PAWN,PHP,PLSQL,PLpgSQL,POV-Ray SDL,Pascal,Perl,Perl 6,PostScript,PowerShell,Prolog,Puppet,Python,QMake,R,RAML,RPC,Ragel,Rascal,Rebol,Redcode,RobotFramework,Roff,Ruby,Rust,SAS,SQLPL,SaltStack,Scala,Scheme,Scilab,Shell,Smalltalk,Smarty,SourcePawn,Standard ML,SuperCollider,Swift,SystemVerilog,Tcl,TeX,Terra,Turing,TypeScript,UnrealScript,VCL,Vala,Verilog,Vim script,Visual Basic,Volt,Vue,WebAssembly,XS,XSLT,Yacc,eC,xBase
24,DSB,MySQLDumper,"('1.24', '1.24')",https://github.com/DSB/MySQLDumper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,24678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257787,0,0,0,0,57993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,chef,mixlib-archive,"('0.3.0', '0.3.0')",https://github.com/chef/mixlib-archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12661,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,justinsteven,advisories,"('1.28.0', '1.28.0')",https://github.com/justinsteven/advisories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ljharb,qs,"('1.0.0', '6.3.1')",https://github.com/ljharb/qs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,xwiki-labs,cryptpad,"('1.1.0', '1.1.0')",https://github.com/xwiki-labs/cryptpad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413036,0,0,0,0,0,2553520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,kubernetes,kubernetes,"('1.5.0', '1.5.4')",https://github.com/kubernetes/kubernetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40967347,0,0,0,1199467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717676,0,0,0,0,0,0,0,0,0,0,1780,0,0,0,0,0,0,0,1404841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,lsh123,xmlsec,"('1.2.23', '1.2.23')",https://github.com/lsh123/xmlsec,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,3696914,0,16842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16822,0,0,0,0,0,0,0,0,0,89472,0,14949,0,0,0,0,0,0,0,0,0,0,0,22213,0,0,0,0,0,0,0,0,6165,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0
31,openmediavault,openmediavault,"('2.1', '2.1')",https://github.com/openmediavault/openmediavault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11962,0,0,0,0,28100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994853,0,0,0,0,0,0,0,0,0,1158,0,12931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365403,0,0,0,0,3228,0,0,0,0,0,256175,0,0,0,0,0,0,0,0,0,0,2207,0,0,0,0,0,0,0,612007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4432,0,0,0
32,modxcms,revolution,"('2.0.0', '2.5.6')",https://github.com/modxcms/revolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,14870,3451242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19877048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4547,0,0,0,0,2177,0,199123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Betterment,test_track,"('1.0', '1.0')",https://github.com/Betterment/test_track,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394,0,0,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
